Metric,Value
Accuracy,0.996213344
Precision (Benign),0.998799955
Recall (Benign),0.993267434
F1-Score (Benign),0.996026012
Precision (Attack),0.993872072
Recall (Attack),0.998908274
F1-Score (Attack),0.996383809
True Positives,48494
False Negatives,53
True Negatives,44112
False Positives,299
